exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
HDL cholesterol,mr_mvivw,124,-0.0436149301030909,0.0478651587585594,0.362187831015301,-0.137428917384159,0.0501990571779774,0.95732252259191,0.871594800609305,1.05148219289636
LDL cholesterol,mr_mvivw,124,0.273503364685469,0.0484877161033458,1.69386504894819e-08,0.178469187430308,0.368537541940629,1.31456178229154,1.19538396228037,1.44562143544654
Triglycerides,mr_mvivw,124,0.18896081437861,0.0708762290492012,0.00767442708422481,0.0500459580821638,0.327875670675056,1.20799361557498,1.05131672825314,1.38801993353097
HDL cholesterol,mr_mvegger,124,0.0315031025977478,0.0584020890093913,0.58959888239779,-0.0829628884825616,0.145969093678057,1.03200457748576,0.920383367565313,1.15716285787398
LDL cholesterol,mr_mvegger,124,0.274558962497668,0.04775631067071,8.96846775675358e-09,0.18095831354857,0.368159611446765,1.31595016349009,1.19836316151324,1.44507515618458
Triglycerides,mr_mvegger,124,0.156929730113417,0.0713347091049182,0.0278134897876617,0.0171162694201361,0.296743190806698,1.16991340133039,1.01726097859571,1.34547318280298
HDL cholesterol,mr_mvlasso,124,0.00068923654990454,0.0293469926686902,0.981262793873902,-0.0568298121352893,0.0582082852350984,1.00068947412799,0.944753842940759,1.05993686198041
LDL cholesterol,mr_mvlasso,124,0.314004545839069,0.0331328603821803,2.61363739443382e-21,0.249065332785202,0.378943758892936,1.36889595931397,1.28282431012818,1.4607426228451
Triglycerides,mr_mvlasso,124,0.244641422544866,0.0477302992788259,2.96756638203439e-07,0.151091754987049,0.338191090102683,1.27716326913282,1.16310137431455,1.40241087496205
HDL cholesterol,mr_mvmedian,124,-0.0166013536648666,0.0416631938337613,0.690286937470357,-0.0982597130599501,0.0650570057302169,0.983535689392137,0.906412105677623,1.06722146168259
LDL cholesterol,mr_mvmedian,124,0.307262181116067,0.0484632787305912,2.29611535439393e-10,0.212275900231382,0.402248462000752,1.35969740832802,1.236486827419,1.49518539236928
Triglycerides,mr_mvmedian,124,0.263400248152381,0.0770878909589421,0.000633426646275757,0.112310758228703,0.414489738076058,1.30134747665175,1.11885739538318,1.51360241437015
